Date,Open,High,Low,Close,Adj Close,Volume
2005-06-16,159.725006,160.988007,158.106995,159.712006,90.958427,4593552
2005-06-17,160.337006,160.807007,157.886993,158.457993,90.244209,3067992
2005-06-20,159.375000,162.744995,158.787994,161.988007,92.254623,6412672
2005-06-21,162.500000,164.050003,160.412994,163.136993,92.908951,10463544
2005-06-22,163.625000,167.375000,163.625000,166.669998,94.921089,11537376
2005-06-23,166.250000,167.220001,163.125000,163.425003,93.073013,3676944
2005-06-24,162.500000,167.287994,161.875000,165.720001,94.380035,6021320
2005-06-27,164.962006,166.625000,163.500000,164.557007,93.717690,3548128
2005-06-28,164.750000,166.000000,164.257996,165.445007,94.223442,5776112
2005-06-29,165.625000,169.744995,165.270004,166.570007,94.864159,6446640
2005-06-30,167.350006,170.625000,167.350006,169.761993,96.682007,7189000
2005-07-01,168.750000,169.587006,167.544998,169.050003,96.276512,4820568
2005-07-04,169.850006,171.488007,166.375000,169.882996,96.750923,3951648
2005-07-05,171.220001,171.220001,164.074997,165.024994,93.984222,5187376
2005-07-06,165.750000,166.574997,164.520004,165.386993,97.133362,3057216
2005-07-07,165.386993,167.500000,162.908005,163.707993,96.147316,3488888
2005-07-08,163.824997,166.175003,161.695007,163.886993,96.252411,6088000
2005-07-11,163.886993,166.250000,163.886993,165.757996,97.351273,3791264
2005-07-12,164.824997,165.125000,159.037994,160.738007,94.402977,6150600
2005-07-13,160.625000,162.500000,158.375000,158.845001,93.291245,6469840
2005-07-14,159.832993,160.962006,152.044998,153.125000,89.931847,8860408
2005-07-15,153.875000,157.738007,151.882996,156.057007,91.653816,9341720
2005-07-18,156.500000,184.875000,156.500000,165.274994,97.067596,14475608
2005-07-19,168.550003,169.750000,157.500000,164.895004,96.844444,4677744
2005-07-20,166.875000,166.875000,163.145004,163.533005,96.044525,3494304
2005-07-21,165.125000,165.125000,160.000000,161.287994,94.725998,4198984
2005-07-22,160.625000,162.231995,158.800003,161.744995,94.994431,5179296
2005-07-25,162.074997,162.794998,159.399994,160.544998,94.289665,5433024
2005-07-26,160.731995,161.500000,157.500000,158.158005,92.887711,5229680
2005-07-27,158.125000,161.000000,158.125000,160.561996,94.299629,2597408
2005-07-28,null,null,null,null,null,null
2005-07-29,159.375000,161.250000,157.750000,158.600006,93.147308,8358552
2005-08-01,158.375000,159.375000,155.332993,156.524994,91.928680,5430792
2005-08-02,161.500000,162.250000,157.250000,161.287994,94.725998,4821520
2005-08-03,162.188004,163.425003,160.375000,162.595001,95.493637,7274320
2005-08-04,163.125000,164.975006,161.000000,161.908005,95.090118,6346936
2005-08-05,162.500000,163.500000,159.649994,160.675003,94.366013,3162848
2005-08-08,161.250000,161.250000,158.408005,160.382996,94.194473,4109360
2005-08-09,159.375000,160.875000,158.000000,160.550003,94.292580,4743752
2005-08-10,160.707993,164.582993,160.707993,164.132996,96.396858,6958080
2005-08-11,164.582993,166.125000,163.324997,164.106995,96.381630,3645312
2005-08-12,166.050003,166.050003,159.449997,160.356995,94.179237,3821832
2005-08-16,161.250000,161.250000,158.125000,158.632996,93.166672,3653408
2005-08-17,160.000000,162.750000,157.662994,162.395004,95.376167,5637488
2005-08-18,163.375000,165.625000,163.162994,164.212006,98.258492,7813656
2005-08-19,164.375000,166.500000,163.886993,165.669998,99.130890,4966272
2005-08-22,165.625000,168.550003,155.625000,164.731995,98.569595,4492016
2005-08-23,165.875000,166.332993,164.125000,164.507996,98.435600,4686416
2005-08-24,164.507996,164.750000,160.500000,161.962006,96.912178,4036760
2005-08-25,163.125000,166.250000,162.500000,165.457993,99.004005,6341224
2005-08-26,166.057007,171.250000,165.625000,170.595001,102.077850,8198664
2005-08-29,171.250000,172.250000,166.250000,169.419998,101.374725,4081336
2005-08-30,169.457993,173.875000,169.457993,173.044998,103.543816,5807592
2005-08-31,172.600006,176.919998,172.500000,175.606995,105.076805,7408896
2005-09-01,176.231995,179.250000,176.125000,178.033005,106.528465,7600184
2005-09-02,178.750000,180.000000,176.882996,178.399994,106.748047,4920864
2005-09-05,180.000000,183.363007,175.794998,176.283005,105.481346,7254784
2005-09-06,176.875000,177.488007,173.500000,174.807007,104.598137,5023440
2005-09-08,175.000000,176.875000,174.408005,175.761993,105.169563,2878192
